year,device,count,Decade
1906,PILLAR,1,1900
1906,CAPITAL,1,1900
1906,TWO,2,1900
1906,ARCS,1,1900
1906,HORNS,1,1900
1906,TOP,1,1900
1906,HALF,1,1900
1906,TOPHAT,1,1900
1906,RIDING,1,1900
1906,IMPERIAL,1,1900
1906,BLOOM,1,1900
1906,CHEVRON,1,1900
1906,UNICORNS,1,1900
1906,FLAGS,1,1900
1906,FOOT,1,1900
1906,FOOTPRINT,2,1900
1906,BRIDGE,1,1900
1906,PERIOD,1,1900
1906,COSTUME,1,1900
1906,HORSE'S,1,1900
1906,HORN,1,1900
1906,TRUMPET,1,1900
1906,SAILING,1,1900
1906,SHIP,1,1900
1906,LIFEBELT,1,1900
1906,SAILOR,1,1900
1906,MUSICAL,1,1900
1906,INSTRUMENT,1,1900
1906,HARP,1,1900
1906,POLE,1,1900
1906,FEET,1,1900
1906,WHEEL,1,1900
1906,SPOKED,1,1900
1906,RABBIT,2,1900
1906,FLEUR-DE-LIS,1,1900
1906,FIVE-POINT,7,1900
1906,CROCODILE,1,1900
1906,MIXED,1,1900
1906,BULL'S,1,1900
1906,SWALLOW,1,1900
1907,E,1,1900
1907,CHERUB,1,1900
1907,MAN,9,1900
1907,&,16,1900
1907,WOMAN,4,1900
1907,IN,37,1900
1907,PERIOD,1,1900
1907,COSTUME,1,1900
1907,HEART,3,1900
1907,DOG,2,1900
1907,BULLDOG,2,1900
1907,ANNULUS,6,1900
1907,OVAL,4,1900
1907,ORB,1,1900
1907,CROSS,3,1900
1907,GREEK,3,1900
1907,DISC,2,1900
1907,DIVIDED,1,1900
1907,STARS,2,1900
1907,SIX-POINT,1,1900
1907,SEVEN,1,1900
1907,ARC,1,1900
1907,DOUBLE,8,1900
1907,RECTANGLE,9,1900
1907,ROUNDED-CORNERS,1,1900
1907,BIRD,7,1900
1907,SHEET,1,1900
1907,MUSIC,1,1900
1907,PARROT,4,1900
1907,PERCHED,4,1900
1907,EATING,1,1900
1907,BISCUIT,1,1900
1907,CLEANING,1,1900
1907,WINDOW,1,1900
1907,STAGECOACH,1,1900
1907,WHITE,1,1900
1907,HORSE,1,1900
1907,CREST,1,1900
1907,WITH,2,1900
1907,FACTORY,2,1900
1907,COINS,1,1900
1907,MIXED,4,1900
1907,FLAGS,2,1900
1907,SHIELDLETS,2,1900
1907,TWO,5,1900
1907,SEATED,2,1900
1907,WOMEN,2,1900
1907,PERIOD-COSTUME,2,1900
1907,BULL,1,1900
1907,RAMPANT,6,1900
1907,QUATREFOIL,1,1900
1907,QUARTERED,1,1900
1907,DIAMOND,4,1900
1907,FRAME,2,1900
1907,LACY,1,1900
1907,EDGE,1,1900
1907,QUEEN'S,1,1900
1907,HEAD,7,1900
1907,CIRCLE,8,1900
1907,WREATH,2,1900
1907,INDIAN,2,1900
1907,SHOULDERS,3,1900
1907,TURBAN,2,1900
1907,PAGODA,1,1900
1907,,5,1900
1907,CHINESE,3,1900
1907,CHARACTERS,2,1900
1907,CROWN,2,1900
1907,STYLISED,1,1900
1907,SWAN,1,1900
1907,ON,12,1900
1907,CORONET,2,1900
1907,LEAVES,3,1900
1907,PADLOCKS,1,1900
1907,ELLIPSE,3,1900
1907,LION,6,1900
1907,TORCH,5,1900
1907,FLAMES,5,1900
1907,WHEEL,5,1900
1907,SPOKED,5,1900
1907,SQUARE,1,1900
1907,MANTLING,1,1900
1907,PATTERN,1,1900
1907,ZIG-ZAG,1,1900
1907,QUATREFOILS,1,1900
1907,SQUARES,1,1900
1907,AMERICAN-INDIAN,1,1900
1907,CHIEF,1,1900
1907,CUTS,1,1900
1907,BEARDED,1,1900
1907,TUNIC,1,1900
1907,FIGHTING,1,1900
1907,SAMSON,1,1900
1907,EIGHT-POINT,1,1900
1907,ORNATE,1,1900
1907,BLUEBELLS,1,1900
1907,FLOWERS,4,1900
1907,STATUE,1,1900
1907,BRITANNIA,1,1900
1907,PEDESTAL,1,1900
1907,FACE,1,1900
1907,HALVED,1,1900
1907,SUGARCANE,1,1900
1907,BETWEEN,1,1900
1907,STAG,1,1900
1907,LYING,1,1900
1907,DOWN,1,1900
1907,BATON,2,1900
1907,BRANCH,4,1900
1907,SPADE,1,1900
1907,PLAYING,1,1900
1907,CARD,1,1900
1907,SYMBOL,1,1900
1907,WARATAH,1,1900
1907,FLOWERPOT,3,1900
1907,ATLAS,2,1900
1907,GLOBE,1,1900
1907,MERIDIANS,1,1900
1907,HAND,2,1900
1907,CURVED-SIDES,1,1900
1907,GREYHOUND,1,1900
1907,TREE,1,1900
1907,PALM,1,1900
1907,CONCENTRIC,2,1900
1907,CIRCLES,3,1900
1907,PLANT,4,1900
1907,BAMBOO,3,1900
1907,HERALD,1,1900
1907,HORSEBACK,2,1900
1907,BLOWING,2,1900
1907,TRUMPET,3,1900
1907,KNIGHT,2,1900
1907,ORCHID,1,1900
1907,FRUIT,2,1900
1907,SCALLOPED,1,1900
1907,BORDER,1,1900
1907,FRAMEORNATE,1,1900
1907,AND,1,1900
1907,HOLDING,2,1900
1907,DAGGER,1,1900
1907,SHIELD,2,1900
1907,ARABESQUES,1,1900
1907,ROLLING-PIN,1,1900
1907,SCROLL,1,1900
1907,ACROSS,1,1900
1907,EAGLE,2,1900
1907,WINGS,3,1900
1907,OUTSTRETCHED,2,1900
1907,RIBBON,1,1900
1907,IMPERIAL,1,1900
1907,SWORDS,1,1900
1907,CROSSED,1,1900
1907,NOTCHED-ENDS,1,1900
1907,CONCAVE-SIDE,1,1900
1907,TRIANGLES,2,1900
1907,INTERLOCKING,1,1900
1907,TO,1,1900
1907,FORM,1,1900
1907,STAR,1,1900
1907,OF,1,1900
1907,DAVID,1,1900
1907,CURLEW,1,1900
1907,THREE,1,1900
1907,STATUES,1,1900
1907,ARCHES,1,1900
1907,EGYPTIAN,1,1900
1907,GOAT,2,1900
1907,FORMED,1,1900
1907,BY,1,1900
1907,DISCS,1,1900
1907,PATTERNED,1,1900
1907,THISTLE,1,1900
1907,SUN,1,1900
1907,RAYS,1,1900
1907,OR,1,1900
1907,SERRATED,2,1900
1907,STRIPE,1,1900
1907,OBLIQUE,1,1900
1907,HANDS,1,1900
1907,PICK,1,1900
1907,EYE,1,1900
1907,SCROLLS,1,1900
1907,OVER,1,1900
1907,MEN,1,1900
1907,SCOTSMEN,1,1900
1907,MEDALS,1,1900
1907,BANNER,1,1900
1907,WEARING,1,1900
1963,R,2,1960
1963,COW,1,1960
1963,LIGHTNING,4,1960
1963,RECTANGLE,26,1960
1963,TWO,24,1960
1963,CONVEX-SIDES,5,1960
1963,DEVIL,3,1960
1963,TRIDENT,4,1960
