year,device,count,Decade
1975,device,5,1970
1975,suit,1,1970
1975,case,1,1970
1975,two,1,1970
1975,part,1,1970
1975,bag,1,1970
1975,supporting,1,1970
1975,hook,1,1970
1975,an,1,1970
1975,instrument,1,1970
1975,tilt,1,1970
1975,and,3,1970
1975,panning,1,1970
1975,head,1,1970
1975,information,2,1970
1975,display,2,1970
1975,snap-on,1,1970
1975,coupling,3,1970
1975,child's,1,1970
1975,chair,1,1970
1975,building,1,1970
1975,block,1,1970
1975,A,13,1970
1975,Metal,1,1970
1975,Section,1,1970
1975,handbag,1,1970
1975,Tap,1,1970
1975,Handle,1,1970
1975,Wooden,1,1970
1975,toy,1,1970
1975,Channel,2,1970
1975,Hanger,1,1970
1975,Attachment,1,1970
1975,shaped,1,1970
1975,section,1,1970
1975,soldering,1,1970
1975,iron,1,1970
1975,tyre,2,1970
1975,for,10,1970
1975,vehicle,3,1970
1975,wheel,2,1970
1975,expansion,1,1970
1975,cap,1,1970
1975,tire,2,1970
1975,rotor,2,1970
1975,compaction,2,1970
1975,vibrator,2,1970
1975,gate,1,1970
1975,valve,3,1970
1975,Switch,1,1970
1975,Housing,1,1970
1975,Moulded,1,1970
1975,Pipe,1,1970
1975,Canoe,1,1970
1975,latch,1,1970
1975,member,5,1970
1975,clothes,2,1970
1975,line,2,1970
1975,boss,1,1970
1975,standard,1,1970
1975,Hospital,1,1970
1975,Intravenous,1,1970
1975,Pole,1,1970
1975,Camping,1,1970
1975,Trailer,1,1970
1975,Fence,1,1970
1975,Panel,1,1970
1975,Vehicle,1,1970
1975,Wheel,1,1970
1975,Cover,1,1970
1975,Solar,8,1970
1975,Water,8,1970
1975,Heating,7,1970
1975,Unit,8,1970
1975,Storage,1,1970
1975,Tank,1,1970
1975,Hot,1,1970
1975,set,1,1970
1975,of,2,1970
1975,Board,1,1970
1975,Pieces,1,1970
1975,game,1,1970
1975,motor,2,1970
1975,cycle,2,1970
1975,luggage,2,1970
1975,carrier,2,1970
1975,side,2,1970
1975,frame,2,1970
1975,ticket,1,1970
1975,folding,1,1970
1975,ladder,1,1970
1975,joining,1,1970
1975,envelope,2,1970
1975,switch,2,1970
1975,plate,2,1970
1975,fastening,1,1970
1975,trim,1,1970
1975,culturing,1,1970
1975,bottle,1,1970
1975,fixing,1,1970
1975,roofing,1,1970
1975,sheets,1,1970
1975,foldable,1,1970
1975,shelter,1,1970
1975,check,1,1970
1975,pipe,2,1970
1975,repair,2,1970
1975,joint,2,1970
1975,barbecue,1,1970
1975,assembly,1,1970
1975,sealing,1,1970
1975,liner,1,1970
1975,stem,1,1970
1975,retaining,1,1970
1975,the,1,1970
1975,front,1,1970
1975,drawer,1,1970
1975,fence,1,1970
1975,panel,2,1970
1975,money,1,1970
1975,box,1,1970
1975,carry,1,1970
1975,tray,1,1970
1975,with,1,1970
1975,lid,1,1970
1975,duct,1,1970
1975,door,1,1970
1975,handle,1,1970
1975,sand,1,1970
1975,media,1,1970
1975,water,1,1970
1975,filter,1,1970
1975,combined,1,1970
1975,note,1,1970
1975,laundry,1,1970
1975,tub,1,1970
1975,lens,2,1970
1975,post,1,1970
1975,rear,1,1970
1975,window,1,1970
1975,louvre,1,1970
1975,shade,1,1970
1975,brick,1,1970
1975,trolley,1,1970
1975,cigarette,1,1970
1975,package,1,1970
1975,strainer,1,1970
1975,bowl,2,1970
1976,s,1,1970
1976,a,39,1970
1976,bracket,3,1970
1976,(variable),1,1970
1976,for,11,1970
1976,conveyor,1,1970
1976,rollers,1,1970
1976,container,9,1970
1976,and,4,1970
1976,cap,2,1970
1976,therefore,1,1970
1976,an,4,1970
1976,extruded,2,1970
1976,off-set,1,1970
1976,insulator,1,1970
1976,electronic,1,1970
1976,device,1,1970
1976,control,1,1970
1976,panel,3,1970
1976,leach,6,1970
1976,drain,6,1970
1976,culvert,2,1970
1976,detachable,1,1970
1976,beam,1,1970
1976,rack,1,1970
1976,system,1,1970
1976,plate,1,1970
1976,connector,1,1970
1976,the,1,1970
1976,section,7,1970
1976,of,5,1970
1976,Soldier,1,1970
1976,use,1,1970
1976,in,1,1970
1976,structural,1,1970
1976,work,1,1970
1976,decking,1,1970
1976,plastics,1,1970
1976,pump,1,1970
1976,casing,1,1970
1976,toilet,1,1970
1976,bag,1,1970
1976,bottle,1,1970
1976,article,1,1970
1976,furniture,1,1970
1976,core,1,1970
1976,box,1,1970
1976,Pallet,2,1970
1976,Base,2,1970
1976,Outrigger,1,1970
1976,Assembly,1,1970
1976,lens,1,1970
1976,comestible,4,1970
1976,display,4,1970
1976,package,4,1970
1976,hose,1,1970
1976,outlet,1,1970
1976,Hydraulic,2,1970
1976,lifting,2,1970
1976,mechanism,2,1970
1976,slide-in,2,1970
1976,campers,2,1970
1976,utilities,2,1970
1976,washer,1,1970
1976,snap-on,1,1970
1976,assembly,1,1970
1976,freight,2,1970
1976,roofing,1,1970
1976,tile,1,1970
1976,folding,1,1970
1976,foot,1,1970
1976,bed,1,1970
1976,stripper,1,1970
1976,table,1,1970
1976,easel,1,1970
1976,oil,1,1970
1976,or,3,1970
