UID,lat,lon,applicant_type,application_year
167,-33.868999,151.12199,Private applicant,2003
168,-33.868999,151.12199,Private applicant,2003
169,-33.861,151.005,SME,2003
170,-33.761002,151.173,Private applicant,2003
171,-37.821999,145.039,Large firm,2003
172,-33.992001,150.862,SME,2003
173,-33.959,151.108,Private applicant,2003
174,47.785,-122.387,SME,2003
175,-32.042,115.885,SME,2003
176,-32.025002,115.8,Private applicant,2003
177,-31.985001,115.763,SME,2003
178,-37.804001,145.304,Private applicant,2003
179,-34.466,150.84,Large firm,2003
180,-33.776001,151.009,SME,2003
181,-33.803001,150.98801,SME,2003
182,-32.000999,115.919,SME,2003
183,-21.076,149.08099,Private applicant,2003
184,-21.076,149.08099,Private applicant,2003
185,-32.729,152.173,Private applicant,2003
186,-32.971001,151.70399,Private applicant,2003
187,-34.919998,138.623,SME,2004
188,-34.016998,151.10699,SME,2006
189,-34.016998,151.10699,SME,2006
190,-34.016998,151.10699,SME,2006
191,-34.016998,151.10699,Private applicant,2006
192,-33.918999,150.966,Private applicant,2006
193,-33.919998,151.22701,SME,2005
194,-28.077999,153.39101,SME,2005
195,-27.469999,153.03,SME,2005
196,-33.863998,151.207,SME,2006
197,-27.608999,153.05901,Private applicant,2005
198,-33.831001,150.94701,Private applicant,2004
199,-34.058998,151.155,Private applicant,2005
200,-31.947001,115.844,SME,2005
201,-33.837002,151.207,SME,2005
202,-33.837002,151.207,SME,2005
203,-33.421001,151.34,SME,2005
204,-34.408001,150.879,Large firm,2005
205,-37.834,144.974,SME,2005
206,-33.895,151.19501,Large firm,2005
207,-27.579,153.09599,SME,2005
208,-37.907001,145.103,SME,2005
209,-37.837002,145.008,SME,2005
210,-37.916,145.138,Large firm,2005
211,-33.790001,151.131,SME,2005
212,-37.810001,144.97,SME,2005
213,-37.816002,144.965,SME,2005
214,-32.18,116.004,Private applicant,2006
215,-34.84,138.592,SME,2005
216,-33.880001,151.22099,SME,2005
217,-33.880001,151.22099,SME,2005
218,-33.876999,151.207,SME,2003
219,-37.719002,145.011,Private applicant,2003
220,-37.710999,145.00999,Private applicant,2003
221,-37.653,144.92101,Private applicant,2003
222,-33.751999,151.063,Private applicant,2003
223,-37.838001,145.285,SME,2003
224,-33.786999,151.12601,SME,2003
225,-33.723999,151.146,Private applicant,2003
226,-38.318001,145.019,SME,2003
227,-38.069,145.14301,Private applicant,2003
228,-31.895,115.895,SME,2003
229,-27.761999,153.23801,SME,2003
230,-34.032001,151.125,Large firm,2003
231,-27.995001,153.41701,Private applicant,2003
232,-33.786999,151.12601,SME,2003
233,-28.09,153.403,Private applicant,2003
234,-37.247002,144.465,Private applicant,2003
235,-37.898998,145.088,SME,2003
236,-37.792999,145.07201,SME,2003
237,-37.898998,145.088,SME,2003
238,-37.943001,145.01401,Private applicant,2003
239,-37.943001,145.01401,Private applicant,2003
240,-33.757999,151.295,Private applicant,2003
241,-33.757999,151.295,Private applicant,2003
242,-19.33,146.715,Private applicant,2003
243,-31.966999,115.895,SME,2003
244,-37.672001,145.11301,SME,2003
245,-38.07,145.465,Private applicant,2003
246,-34.016998,151.10699,SME,2006
247,-33.918999,150.966,Private applicant,2006
248,-34.016998,151.10699,SME,2006
249,-34.016998,151.10699,Private applicant,2006
250,-34.016998,151.10699,SME,2006
251,-37.754002,145.002,SME,2005
252,-34.911999,138.571,SME,2005
253,-31.927,116.181,Private applicant,2005
254,-33.908001,151.24001,Private applicant,2005
255,-31.947001,115.828,SME,2005
256,-37.946999,145.073,SME,2005
257,-28.105,153.42999,SME,2005
258,-33.868,151.20599,Large firm,2004
259,-33.868,151.202,SME,2005
260,-33.867001,151.202,Large firm,2005
261,-27.502001,153.007,SME,2005
262,-37.825001,145.179,Private applicant,2005
263,-27.907,153.339,Private applicant,2005
264,-33.834,151.05099,SME,2005
265,-37.979,145.08299,SME,2005
266,-37.976002,145.114,SME,2005
267,-33.882,151.158,SME,2005
268,-37.803001,144.97701,SME,2005
269,-33.882,151.158,SME,2005
270,-27.576,153.088,SME,2004
271,-33.824001,151.188,SME,2004
272,-26.782,153.114,SME,2003
273,-35.306999,149.13699,Large firm,2003
274,-37.813999,144.957,Large firm,2003
275,-35.278999,149.146,Large firm,2003
